date, LordAro, _46, Taneb, bjs, icydoge, liamfraser, Speed`, sdhand, ddm, nitia, is_term_time
2015-03-30, 110, 93, 96, 0, 54, 75, 9, 0, 0, 26, 0
2015-03-31, 81, 22, 87, 0, 76, 21, 49, 0, 0, 51, 0
2015-04-01, 153, 55, 46, 0, 90, 82, 54, 0, 0, 5, 0
2015-04-02, 134, 20, 62, 0, 99, 113, 77, 0, 0, 24, 0
2015-04-03, 71, 43, 40, 0, 23, 0, 15, 0, 0, 6, 0
2015-04-04, 107, 11, 3, 0, 122, 255, 67, 0, 0, 1, 0
2015-04-05, 125, 13, 7, 0, 86, 49, 16, 0, 0, 21, 0
2015-04-06, 97, 41, 68, 0, 74, 102, 37, 0, 0, 32, 0
2015-04-07, 86, 74, 67, 0, 168, 54, 3, 0, 0, 49, 0
2015-04-08, 244, 39, 21, 0, 85, 119, 125, 0, 0, 43, 0
2015-04-09, 224, 50, 77, 0, 112, 63, 56, 0, 0, 68, 0
2015-04-10, 243, 31, 42, 0, 37, 25, 99, 0, 0, 0, 0
2015-04-11, 181, 12, 52, 0, 84, 53, 49, 0, 0, 108, 0
2015-04-12, 140, 103, 72, 0, 53, 167, 74, 0, 0, 9, 0
2015-04-13, 124, 179, 41, 0, 17, 253, 146, 0, 0, 0, 1
2015-04-14, 143, 97, 36, 0, 76, 303, 308, 0, 0, 13, 1
2015-04-15, 124, 42, 3, 0, 57, 193, 118, 0, 0, 56, 1
2015-04-16, 128, 61, 34, 0, 37, 114, 18, 0, 0, 17, 1
2015-04-17, 94, 41, 12, 0, 57, 126, 49, 0, 0, 37, 1
2015-04-18, 114, 38, 49, 0, 16, 128, 13, 0, 0, 6, 1
2015-04-19, 90, 61, 12, 0, 95, 43, 13, 0, 0, 26, 1
2015-04-20, 153, 38, 39, 0, 49, 133, 64, 0, 0, 53, 1
2015-04-21, 105, 24, 39, 0, 108, 363, 98, 0, 0, 37, 1
2015-04-22, 137, 65, 78, 0, 114, 123, 30, 0, 0, 68, 1
2015-04-23, 111, 9, 50, 0, 36, 238, 140, 0, 0, 55, 1
2015-04-24, 91, 28, 45, 0, 34, 185, 110, 0, 0, 16, 1
2015-04-25, 90, 27, 64, 0, 17, 246, 16, 0, 0, 3, 1
2015-04-26, 129, 21, 19, 0, 44, 197, 159, 0, 0, 33, 1
2015-04-27, 204, 74, 48, 0, 30, 301, 116, 0, 0, 10, 1
2015-04-28, 140, 36, 35, 0, 34, 203, 94, 0, 0, 4, 1
2015-04-29, 71, 32, 22, 0, 23, 179, 103, 0, 0, 11, 1
2015-04-30, 84, 25, 62, 0, 14, 95, 22, 0, 0, 10, 1
2015-05-01, 87, 81, 31, 0, 102, 158, 27, 0, 0, 35, 1
2015-05-02, 124, 36, 112, 0, 41, 229, 19, 0, 0, 43, 1
2015-05-03, 60, 46, 41, 0, 33, 110, 17, 0, 0, 6, 1
2015-05-04, 115, 110, 64, 0, 81, 181, 77, 0, 0, 21, 1
2015-05-05, 151, 49, 50, 0, 53, 207, 60, 0, 0, 21, 1
2015-05-06, 228, 43, 54, 0, 50, 263, 162, 0, 0, 27, 1
2015-05-07, 206, 84, 90, 0, 153, 21, 42, 0, 0, 36, 1
2015-05-08, 219, 61, 78, 0, 87, 132, 76, 0, 0, 36, 1
2015-05-09, 128, 23, 1, 0, 35, 64, 115, 0, 0, 6, 1
2015-05-10, 45, 64, 31, 0, 22, 22, 70, 0, 0, 2, 1
2015-05-11, 191, 118, 61, 0, 66, 155, 222, 0, 0, 11, 1
2015-05-12, 155, 54, 61, 0, 55, 127, 196, 0, 0, 13, 1
2015-05-13, 216, 94, 119, 0, 6, 266, 65, 0, 0, 1, 1
2015-05-14, 158, 53, 77, 0, 54, 212, 74, 0, 0, 17, 1
2015-05-15, 150, 35, 27, 0, 19, 90, 52, 0, 0, 3, 1
2015-05-16, 67, 20, 48, 0, 7, 71, 35, 0, 0, 3, 1
2015-05-17, 220, 123, 135, 0, 59, 138, 104, 0, 0, 8, 1
2015-05-18, 187, 127, 29, 0, 37, 156, 24, 0, 0, 7, 1
2015-05-19, 137, 67, 92, 0, 60, 174, 75, 0, 0, 3, 1
2015-05-20, 59, 33, 5, 0, 9, 21, 33, 0, 0, 4, 1
2015-05-21, 175, 97, 42, 0, 79, 270, 22, 0, 0, 12, 1
2015-05-22, 238, 121, 77, 0, 150, 53, 85, 0, 0, 5, 1
2015-05-23, 143, 72, 148, 0, 39, 78, 10, 0, 0, 13, 1
2015-05-24, 70, 36, 46, 0, 62, 107, 45, 0, 0, 0, 1
2015-05-25, 108, 71, 36, 0, 15, 75, 15, 0, 0, 3, 1
